User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
2127797,perfect-forward-backward,search box,1,2017-12-29 10:18:48 +0900,2017-12-29 10:18:56 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:31:55 +0900,2017-12-29 10:31:55 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:31:55 +0900,2017-12-29 10:32:03 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:13 +0900,2017-12-29 10:32:13 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:13 +0900,2017-12-29 10:32:22 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:48 +0900,2017-12-29 10:32:48 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:51 +0900,2017-12-29 10:32:51 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:51 +0900,2017-12-29 10:32:58 +0900,450,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:51 +0900,2017-12-29 10:33:02 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:33:21 +0900,2017-12-29 10:33:21 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:33:23 +0900,2017-12-29 10:33:23 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:33:23 +0900,2017-12-29 10:33:37 +0900,443,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:33:23 +0900,2017-12-29 10:33:39 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:34:30 +0900,2017-12-29 10:34:30 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:34:31 +0900,2017-12-29 10:34:31 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:34:33 +0900,2017-12-29 10:34:33 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:34:33 +0900,2017-12-29 10:34:46 +0900,450,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:34:33 +0900,2017-12-29 10:34:51 +0900,450,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:34:33 +0900,2017-12-29 10:34:51 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:35:10 +0900,2017-12-29 10:35:10 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:35:13 +0900,2017-12-29 10:35:13 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:35:15 +0900,2017-12-29 10:35:15 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:35:15 +0900,2017-12-29 10:35:32 +0900,443,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:35:15 +0900,2017-12-29 10:35:37 +0900,443,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:35:15 +0900,2017-12-29 10:35:39 +0900,443,1
123,perfect-forward-backward,search box,0,2017-12-29 11:03:32 +0900,2017-12-29 11:03:32 +0900,0,0
