User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus,Search Term,sales_min,sales_max,profits_min,profits_max,employee_min,employee_max,tse33,prefectures,status
mizutani,perfect-forward-backward,search box,1,2018-01-12 11:36:24 +0900,2018-01-12 11:36:26 +0900,69,1,皮膚,,,,,,,,,
2232594,perfect-forward-backward,search box,0,2018-01-12 11:37:17 +0900,2018-01-12 11:37:17 +0900,0,0,コンデンサ,,,,,,,,,
2232594,perfect-forward-backward,search box,1,2018-01-12 11:37:17 +0900,2018-01-12 11:37:20 +0900,107,1,コンデンサ,,,,,,,,,
2126245,perfect-forward-backward,search box,0,2018-01-12 15:55:15 +0900,2018-01-12 15:55:15 +0900,0,0,フィンテック,,,,,,,,,
2126245,perfect-forward-backward,search box,1,2018-01-12 15:55:15 +0900,2018-01-12 15:55:16 +0900,13,0,フィンテック,,,,,,,,,
2126245,perfect-forward-backward,search box,0,2018-01-12 15:58:28 +0900,2018-01-12 15:58:28 +0900,0,0,三菱,,,,,,,,,
2126245,perfect-forward-backward,search box,1,2018-01-12 15:58:28 +0900,2018-01-12 15:58:35 +0900,391,0,三菱,,,,,,,,,
2126245,perfect-forward-backward,search box,0,2018-01-12 16:00:27 +0900,2018-01-12 16:00:27 +0900,0,0,山口フィナンシャル,,,,,,,,,
2126245,perfect-forward-backward,search box,1,2018-01-12 16:00:27 +0900,2018-01-12 16:00:27 +0900,1,0,山口フィナンシャル,,,,,,,,,
2126245,perfect-forward-backward,search box,0,2018-01-12 16:00:42 +0900,2018-01-12 16:00:42 +0900,0,0,山口銀行,,,,,,,,,
2126245,perfect-forward-backward,search box,1,2018-01-12 16:00:42 +0900,2018-01-12 16:00:44 +0900,1,0,山口銀行,,,,,,,,,
2126245,perfect-forward-backward,search box,0,2018-01-12 16:01:06 +0900,2018-01-12 16:01:06 +0900,0,0,保証サービス,,,,,,,,,
2126245,perfect-forward-backward,search box,1,2018-01-12 16:01:06 +0900,2018-01-12 16:01:09 +0900,21,0,保証サービス,,,,,,,,,
123,perfect-forward-backward,search box,0,2018-01-12 18:24:52 +0900,2018-01-12 18:24:52 +0900,0,0,圧力センサ,,,,,,,,,
123,perfect-forward-backward,search box,1,2018-01-12 18:24:52 +0900,2018-01-12 18:24:53 +0900,21,1,圧力センサ,,,,,,,,,
